Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,SalePrice
64,70,RM,50.0,10300,Pave,,IR1,Bnk,AllPub,140000
65,60,RL,,9375,Pave,,Reg,Lvl,AllPub,219500
66,60,RL,76.0,9591,Pave,,Reg,Lvl,AllPub,317000
67,20,RL,,19900,Pave,,Reg,Lvl,AllPub,180000
68,20,RL,72.0,10665,Pave,,IR1,Lvl,AllPub,226000
69,30,RM,47.0,4608,Pave,,Reg,Lvl,AllPub,80000
70,50,RL,81.0,15593,Pave,,Reg,Lvl,AllPub,225000
71,20,RL,95.0,13651,Pave,,IR1,Lvl,AllPub,244000
72,20,RL,69.0,7599,Pave,,Reg,Lvl,AllPub,129500
73,60,RL,74.0,10141,Pave,,IR1,Lvl,AllPub,185000
74,20,RL,85.0,10200,Pave,,Reg,Lvl,AllPub,144900
75,50,RM,60.0,5790,Pave,,Reg,Lvl,AllPub,107400
76,180,RM,21.0,1596,Pave,,Reg,Lvl,AllPub,91000
77,20,RL,,8475,Pave,,IR1,Lvl,AllPub,135750
78,50,RM,50.0,8635,Pave,,Reg,Lvl,AllPub,127000
79,90,RL,72.0,10778,Pave,,Reg,Lvl,AllPub,136500
80,50,RM,60.0,10440,Pave,Grvl,Reg,Lvl,AllPub,110000
81,60,RL,100.0,13000,Pave,,Reg,Lvl,AllPub,193500
82,120,RM,32.0,4500,Pave,,Reg,Lvl,AllPub,153500
83,20,RL,78.0,10206,Pave,,Reg,Lvl,AllPub,245000
84,20,RL,80.0,8892,Pave,,IR1,Lvl,AllPub,126500
85,80,RL,,8530,Pave,,IR1,Lvl,AllPub,168500
86,60,RL,121.0,16059,Pave,,Reg,Lvl,AllPub,260000
87,60,RL,122.0,11911,Pave,,IR2,Lvl,AllPub,174000
88,160,FV,40.0,3951,Pave,Pave,Reg,Lvl,AllPub,164500
89,50,C (all),105.0,8470,Pave,,IR1,Lvl,AllPub,85000
90,20,RL,60.0,8070,Pave,,Reg,Lvl,AllPub,123600
91,20,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,109900
92,20,RL,85.0,8500,Pave,,Reg,Lvl,AllPub,98600
93,30,RL,80.0,13360,Pave,Grvl,IR1,HLS,AllPub,163500
94,190,C (all),60.0,7200,Pave,,Reg,Lvl,AllPub,133900
95,60,RL,69.0,9337,Pave,,IR1,Lvl,AllPub,204750
96,60,RL,,9765,Pave,,IR2,Lvl,AllPub,185000
97,20,RL,78.0,10264,Pave,,IR1,Lvl,AllPub,214000
98,20,RL,73.0,10921,Pave,,Reg,HLS,AllPub,94750
99,30,RL,85.0,10625,Pave,,Reg,Lvl,AllPub,83000
100,20,RL,77.0,9320,Pave,,IR1,Lvl,AllPub,128950
101,20,RL,,10603,Pave,,IR1,Lvl,AllPub,205000
102,60,RL,77.0,9206,Pave,,Reg,Lvl,AllPub,178000
103,90,RL,64.0,7018,Pave,,Reg,Bnk,AllPub,118964
104,20,RL,94.0,10402,Pave,,IR1,Lvl,AllPub,198900
105,50,RM,,7758,Pave,,Reg,Lvl,AllPub,169500
106,60,FV,75.0,9375,Pave,,Reg,Lvl,AllPub,250000
107,30,RM,60.0,10800,Pave,Grvl,Reg,Lvl,AllPub,100000
108,20,RM,50.0,6000,Pave,,Reg,Lvl,AllPub,115000
109,50,RM,85.0,8500,Pave,,Reg,Lvl,AllPub,115000
110,20,RL,105.0,11751,Pave,,IR1,Lvl,AllPub,190000
111,50,RL,75.0,9525,Pave,,Reg,Lvl,AllPub,136900
112,80,RL,,7750,Pave,,IR1,Lvl,AllPub,180000
113,60,RL,77.0,9965,Pave,,Reg,Lvl,AllPub,383970
114,20,RL,,21000,Pave,,Reg,Bnk,AllPub,217000
115,70,RL,61.0,7259,Pave,,IR1,Lvl,AllPub,259500
116,160,FV,34.0,3230,Pave,Pave,Reg,Lvl,AllPub,176000
117,20,RL,,11616,Pave,,Reg,Lvl,AllPub,139000
118,20,RL,74.0,8536,Pave,,Reg,Lvl,AllPub,155000
119,60,RL,90.0,12376,Pave,,Reg,Lvl,AllPub,320000
120,60,RL,65.0,8461,Pave,,Reg,Lvl,AllPub,163990
121,80,RL,,21453,Pave,,IR1,Low,AllPub,180000
122,50,RM,50.0,6060,Pave,,Reg,Lvl,AllPub,100000
123,20,RL,75.0,9464,Pave,,Reg,Lvl,AllPub,136000
124,120,RL,55.0,7892,Pave,,Reg,Lvl,AllPub,153900
125,20,RL,48.0,17043,Pave,,IR1,Lvl,AllPub,181000
126,190,RM,60.0,6780,Pave,,Reg,Lvl,AllPub,84500
127,120,RL,,4928,Pave,,IR1,Lvl,AllPub,128000
128,45,RM,55.0,4388,Pave,,IR1,Bnk,AllPub,87000
129,60,RL,69.0,7590,Pave,,Reg,Lvl,AllPub,155000
130,20,RL,69.0,8973,Pave,,Reg,Lvl,AllPub,150000
131,60,RL,88.0,14200,Pave,,Reg,Lvl,AllPub,226000
132,60,RL,,12224,Pave,,IR1,Lvl,AllPub,244000
133,20,RL,75.0,7388,Pave,,Reg,Lvl,AllPub,150750
134,20,RL,,6853,Pave,,IR1,Lvl,AllPub,220000
135,20,RL,78.0,10335,Pave,,IR1,Lvl,AllPub,180000
136,20,RL,80.0,10400,Pave,,Reg,Lvl,AllPub,174000
137,20,RL,,10355,Pave,,IR1,Lvl,AllPub,143000
138,90,RL,82.0,11070,Pave,,Reg,Lvl,AllPub,171000
139,60,RL,73.0,9066,Pave,,IR1,Lvl,AllPub,230000
140,60,RL,65.0,15426,Pave,,IR1,Lvl,AllPub,231500
141,20,RL,70.0,10500,Pave,,Reg,Lvl,AllPub,115000
142,20,RL,78.0,11645,Pave,,Reg,Lvl,AllPub,260000
143,50,RL,71.0,8520,Pave,,Reg,Lvl,AllPub,166000
144,20,RL,78.0,10335,Pave,,IR1,Lvl,AllPub,204000
145,90,RM,70.0,9100,Pave,,Reg,Lvl,AllPub,125000
146,160,RM,24.0,2522,Pave,,Reg,Lvl,AllPub,130000
147,30,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,105000
148,60,RL,,9505,Pave,,IR1,Lvl,AllPub,222500
149,20,RL,63.0,7500,Pave,,Reg,Lvl,AllPub,141000
150,50,RM,,6240,Pave,,Reg,Lvl,AllPub,115000
151,20,RL,120.0,10356,Pave,,Reg,Lvl,AllPub,122000
152,20,RL,107.0,13891,Pave,,Reg,Lvl,AllPub,372402
153,60,RL,,14803,Pave,,IR1,Lvl,AllPub,190000
154,20,RL,,13500,Pave,,Reg,Lvl,AllPub,235000
155,30,RM,84.0,11340,Pave,,Reg,Lvl,AllPub,125000
156,50,RL,60.0,9600,Pave,,Reg,Lvl,AllPub,79000
157,20,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,109500
158,60,RL,92.0,12003,Pave,,Reg,Lvl,AllPub,269500
159,60,FV,100.0,12552,Pave,,Reg,Lvl,AllPub,254900
160,60,RL,134.0,19378,Pave,,IR1,HLS,AllPub,320000
161,20,RL,,11120,Pave,,IR1,Lvl,AllPub,162500
162,60,RL,110.0,13688,Pave,,IR1,Lvl,AllPub,412500
163,20,RL,95.0,12182,Pave,,Reg,Lvl,AllPub,220000
164,45,RL,55.0,5500,Pave,,Reg,Lvl,AllPub,103200
165,40,RM,40.0,5400,Pave,Pave,Reg,Lvl,AllPub,152000
166,190,RL,62.0,10106,Pave,,Reg,Lvl,AllPub,127500
167,20,RL,,10708,Pave,,IR1,Lvl,AllPub,190000
168,60,RL,86.0,10562,Pave,,Reg,Lvl,AllPub,325624
169,60,RL,62.0,8244,Pave,,IR1,Lvl,AllPub,183500
170,20,RL,,16669,Pave,,IR1,Lvl,AllPub,228000
171,50,RM,,12358,Pave,,IR1,Lvl,AllPub,128500
172,20,RL,141.0,31770,Pave,,IR1,Lvl,AllPub,215000
173,160,RL,44.0,5306,Pave,,IR1,Lvl,AllPub,239000
174,20,RL,80.0,10197,Pave,,IR1,Lvl,AllPub,163000
175,20,RL,47.0,12416,Pave,,IR1,Lvl,AllPub,184000
176,20,RL,84.0,12615,Pave,,Reg,Lvl,AllPub,243000
177,60,RL,97.0,10029,Pave,,IR1,Lvl,AllPub,211000
178,50,RL,,13650,Pave,,Reg,Lvl,AllPub,172500
179,20,RL,63.0,17423,Pave,,IR1,Lvl,AllPub,501837
180,30,RM,60.0,8520,Pave,,Reg,Lvl,AllPub,100000
181,160,FV,,2117,Pave,,Reg,Lvl,AllPub,177000
182,70,RL,54.0,7588,Pave,,Reg,Lvl,AllPub,200100
183,20,RL,60.0,9060,Pave,,Reg,Lvl,AllPub,120000
184,50,RM,63.0,11426,Pave,,Reg,Lvl,AllPub,200000
185,50,RL,92.0,7438,Pave,,IR1,Lvl,AllPub,127000
186,75,RM,90.0,22950,Pave,,IR2,Lvl,AllPub,475000
187,80,RL,,9947,Pave,,IR1,Lvl,AllPub,173000
188,50,RL,60.0,10410,Pave,,Reg,Lvl,AllPub,135000
189,90,RL,64.0,7018,Pave,,Reg,Bnk,AllPub,153337
190,120,RL,41.0,4923,Pave,,Reg,Lvl,AllPub,286000
191,70,RL,70.0,10570,Pave,,Reg,Bnk,AllPub,315000
192,60,RL,,7472,Pave,,IR1,Lvl,AllPub,184000
193,20,RL,68.0,9017,Pave,,IR1,Lvl,AllPub,192000
194,160,RM,24.0,2522,Pave,,Reg,Lvl,AllPub,130000
195,20,RL,60.0,7180,Pave,,IR1,Lvl,AllPub,127000
196,160,RL,24.0,2280,Pave,,Reg,Lvl,AllPub,148500
197,20,RL,79.0,9416,Pave,,Reg,Lvl,AllPub,311872
198,75,RL,174.0,25419,Pave,,Reg,Lvl,AllPub,235000
199,75,RM,92.0,5520,Pave,,Reg,Lvl,AllPub,104000
200,20,RL,76.0,9591,Pave,,Reg,Lvl,AllPub,274900
201,20,RM,80.0,8546,Pave,,Reg,Lvl,AllPub,140000
202,20,RL,75.0,10125,Pave,,Reg,Lvl,AllPub,171500
203,50,RL,50.0,7000,Pave,,Reg,Lvl,AllPub,112000
204,120,RM,,4438,Pave,,Reg,Lvl,AllPub,149000
205,50,RM,50.0,3500,Pave,Grvl,Reg,Lvl,AllPub,110000
206,20,RL,99.0,11851,Pave,,Reg,Lvl,AllPub,180500
207,20,RL,40.0,13673,Pave,,IR1,Lvl,AllPub,143900
208,20,RL,,12493,Pave,,IR1,Lvl,AllPub,141000
209,60,RL,,14364,Pave,,IR1,Low,AllPub,277000
210,20,RL,75.0,8250,Pave,,Reg,Lvl,AllPub,145000
211,30,RL,67.0,5604,Pave,,Reg,Lvl,AllPub,98000
212,20,RL,83.0,10420,Pave,,Reg,Lvl,AllPub,186000
213,60,FV,72.0,8640,Pave,,Reg,Lvl,AllPub,252678
214,20,RL,43.0,13568,Pave,,IR2,Lvl,AllPub,156000
215,60,RL,,10900,Pave,,IR1,Lvl,AllPub,161750
216,20,RL,72.0,10011,Pave,,IR1,Lvl,AllPub,134450
217,20,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,210000
218,70,RM,57.0,9906,Pave,Grvl,Reg,Lvl,AllPub,107000
219,50,RL,,15660,Pave,,IR1,Lvl,AllPub,311500
220,120,RL,43.0,3010,Pave,,Reg,Lvl,AllPub,167240
221,20,RL,73.0,8990,Pave,,IR1,Lvl,AllPub,204900
222,60,RL,,8068,Pave,,IR1,Lvl,AllPub,200000
223,60,RL,85.0,11475,Pave,,Reg,Lvl,AllPub,179900
224,20,RL,70.0,10500,Pave,,Reg,Lvl,AllPub,97000
225,20,RL,103.0,13472,Pave,,Reg,Lvl,AllPub,386250
226,160,RM,21.0,1680,Pave,,Reg,Lvl,AllPub,112000
227,60,RL,82.0,9950,Pave,,IR1,Lvl,AllPub,290000
228,160,RM,21.0,1869,Pave,,Reg,Lvl,AllPub,106000
229,20,RL,70.0,8521,Pave,,Reg,Lvl,AllPub,125000
230,120,RL,43.0,3182,Pave,,Reg,Lvl,AllPub,192500
231,20,RL,73.0,8760,Pave,,Reg,Lvl,AllPub,148000
232,60,RL,174.0,15138,Pave,,IR1,Lvl,AllPub,403000
233,160,RM,21.0,1680,Pave,,Reg,Lvl,AllPub,94500
234,20,RL,75.0,10650,Pave,,Reg,Lvl,AllPub,128200
235,60,RL,,7851,Pave,,Reg,Lvl,AllPub,216500
236,160,RM,21.0,1680,Pave,,Reg,Lvl,AllPub,89500
237,20,RL,65.0,8773,Pave,,Reg,Lvl,AllPub,185500
238,60,RL,,9453,Pave,,IR1,Lvl,AllPub,194500
239,20,RL,93.0,12030,Pave,,Reg,Lvl,AllPub,318000
240,50,RL,52.0,8741,Pave,,Reg,Lvl,AllPub,113000
241,20,FV,75.0,9000,Pave,,Reg,Lvl,AllPub,262500
242,30,RM,40.0,3880,Pave,,Reg,Lvl,AllPub,110500
243,50,RM,63.0,5000,Pave,,Reg,Lvl,AllPub,79000
244,160,RL,75.0,10762,Pave,,Reg,Lvl,AllPub,120000
245,60,RL,,8880,Pave,,IR1,Lvl,AllPub,205000
246,20,RL,80.0,10400,Pave,,Reg,Lvl,AllPub,241500
247,190,RM,69.0,9142,Pave,Grvl,Reg,Lvl,AllPub,137000
248,20,RL,75.0,11310,Pave,,Reg,Lvl,AllPub,140000
249,60,RL,72.0,11317,Pave,,Reg,Lvl,AllPub,180000
250,50,RL,,159000,Pave,,IR2,Low,AllPub,277000
251,30,RL,55.0,5350,Pave,,IR1,Lvl,AllPub,76500
252,120,RM,44.0,4750,Pave,,IR1,HLS,AllPub,235000
253,60,RL,65.0,8366,Pave,,IR1,Lvl,AllPub,173000
254,80,RL,85.0,9350,Pave,,Reg,Lvl,AllPub,158000
255,20,RL,70.0,8400,Pave,,Reg,Lvl,AllPub,145000
256,60,RL,66.0,8738,Pave,,IR1,Lvl,AllPub,230000
257,60,FV,64.0,8791,Pave,,IR1,Lvl,AllPub,207500
258,20,RL,68.0,8814,Pave,,Reg,Lvl,AllPub,220000
259,60,RL,80.0,12435,Pave,,Reg,Lvl,AllPub,231500
260,20,RM,70.0,12702,Pave,,Reg,Lvl,AllPub,97000
261,80,RL,120.0,19296,Pave,,Reg,Lvl,AllPub,176000
262,60,RL,69.0,9588,Pave,,IR1,Lvl,AllPub,276000
263,80,RL,88.0,8471,Pave,,IR1,Lvl,AllPub,151000
264,50,RM,50.0,5500,Pave,,Reg,Lvl,AllPub,130000
265,30,RM,30.0,5232,Pave,Grvl,IR3,Bnk,AllPub,73000
266,20,RL,78.0,12090,Pave,,IR1,Lvl,AllPub,175500
267,60,RL,70.0,11207,Pave,,IR1,HLS,AllPub,185000
268,75,RL,60.0,8400,Pave,,Reg,Bnk,AllPub,179500
269,30,RM,71.0,6900,Pave,,Reg,Lvl,AllPub,120500
270,20,RL,,7917,Pave,,IR1,Lvl,AllPub,148000
271,60,FV,84.0,10728,Pave,,Reg,Lvl,AllPub,266000
272,20,RL,73.0,39104,Pave,,IR1,Low,AllPub,241500
273,60,RL,92.0,11764,Pave,,IR1,Lvl,AllPub,290000
274,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,139000
275,20,RL,76.0,8314,Pave,,Reg,Lvl,AllPub,124500
276,50,RL,55.0,7264,Pave,,Reg,Lvl,AllPub,205000
277,20,RL,129.0,9196,Pave,,IR1,Lvl,AllPub,201000
278,20,RL,140.0,19138,Pave,,Reg,Lvl,AllPub,141000
279,20,RL,107.0,14450,Pave,,Reg,Lvl,AllPub,415298
280,60,RL,83.0,10005,Pave,,Reg,Lvl,AllPub,192000
281,60,RL,82.0,11287,Pave,,Reg,Lvl,AllPub,228500
282,20,FV,60.0,7200,Pave,Pave,Reg,Lvl,AllPub,185000
283,120,RL,34.0,5063,Pave,,Reg,Lvl,AllPub,207500
284,20,RL,74.0,9612,Pave,,Reg,Lvl,AllPub,244600
285,120,RL,50.0,8012,Pave,,Reg,Lvl,AllPub,179200
286,160,FV,35.0,4251,Pave,Pave,IR1,Lvl,AllPub,164700
287,50,RL,77.0,9786,Pave,,IR1,Bnk,AllPub,159000
288,20,RL,,8125,Pave,,IR1,Lvl,AllPub,88000
289,20,RL,,9819,Pave,,IR1,Lvl,AllPub,122000
290,70,RL,60.0,8730,Pave,,Reg,Lvl,AllPub,153575
291,60,RL,120.0,15611,Pave,,Reg,Lvl,AllPub,233230
292,190,RL,55.0,5687,Pave,Grvl,Reg,Bnk,AllPub,135900
293,50,RL,60.0,11409,Pave,,Reg,Lvl,AllPub,131000
294,60,RL,,16659,Pave,,IR1,Lvl,AllPub,235000
295,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,167000
296,80,RL,37.0,7937,Pave,,IR1,Lvl,AllPub,142500
297,50,RM,75.0,13710,Pave,,Reg,Lvl,AllPub,152000
298,60,FV,66.0,7399,Pave,Pave,IR1,Lvl,AllPub,239000
299,60,RL,90.0,11700,Pave,,Reg,Lvl,AllPub,175000
300,20,RL,80.0,14000,Pave,,Reg,Lvl,AllPub,158500
301,190,RL,90.0,15750,Pave,,Reg,Lvl,AllPub,157000
302,60,RL,66.0,16226,Pave,,IR3,Lvl,AllPub,267000
303,20,RL,118.0,13704,Pave,,IR1,Lvl,AllPub,205000
304,20,RL,70.0,9800,Pave,,Reg,Lvl,AllPub,149900
305,75,RM,87.0,18386,Pave,,Reg,Lvl,AllPub,295000
306,20,RL,80.0,10386,Pave,,Reg,Lvl,AllPub,305900
307,60,RL,116.0,13474,Pave,,Reg,Lvl,AllPub,225000
308,50,RM,,7920,Pave,Grvl,IR1,Lvl,AllPub,89500
309,30,RL,,12342,Pave,,IR1,Lvl,AllPub,82500
310,20,RL,90.0,12378,Pave,,IR1,Lvl,AllPub,360000
311,60,RL,,7685,Pave,,IR1,Lvl,AllPub,165600
312,20,RL,50.0,8000,Pave,,Reg,Lvl,AllPub,132000
313,190,RM,65.0,7800,Pave,,Reg,Lvl,AllPub,119900
314,20,RL,150.0,215245,Pave,,IR3,Low,AllPub,375000
315,70,RM,60.0,9600,Pave,Grvl,Reg,Lvl,AllPub,178000
316,60,RL,71.0,7795,Pave,,IR1,Lvl,AllPub,188500
317,60,RL,94.0,13005,Pave,,IR1,Lvl,AllPub,260000
318,60,FV,75.0,9000,Pave,,Reg,Lvl,AllPub,270000
319,60,RL,90.0,9900,Pave,,Reg,Low,AllPub,260000
320,80,RL,,14115,Pave,,Reg,Lvl,AllPub,187500
321,60,RL,111.0,16259,Pave,,Reg,Lvl,AllPub,342643
322,60,RL,99.0,12099,Pave,,IR1,Lvl,AllPub,354000
323,60,RL,86.0,10380,Pave,,IR1,Lvl,AllPub,301000
324,20,RM,49.0,5820,Pave,,Reg,Lvl,AllPub,126175
325,80,RL,96.0,11275,Pave,,Reg,Lvl,AllPub,242000
326,45,RM,50.0,5000,Pave,,Reg,Lvl,AllPub,87000
327,120,RL,32.0,10846,Pave,,IR1,Lvl,AllPub,324000
328,20,RL,80.0,11600,Pave,,Reg,Lvl,AllPub,145250
329,75,RL,,11888,Pave,Pave,IR1,Bnk,AllPub,214500
330,70,RM,60.0,6402,Pave,,Reg,Lvl,AllPub,78000
331,90,RL,,10624,Pave,,IR1,Lvl,AllPub,119000
332,20,RL,70.0,8176,Pave,,Reg,Lvl,AllPub,139000
333,20,RL,85.0,10655,Pave,,IR1,Lvl,AllPub,284000
334,120,RM,59.0,8198,Pave,,Reg,Lvl,AllPub,207000
335,60,RL,59.0,9042,Pave,,IR1,Lvl,AllPub,192000
336,190,RL,,164660,Grvl,,IR1,HLS,AllPub,228950
337,20,RL,86.0,14157,Pave,,IR1,HLS,AllPub,377426
338,20,RL,70.0,9135,Pave,,Reg,Lvl,AllPub,214000
339,20,RL,91.0,14145,Pave,,Reg,Lvl,AllPub,202500
340,20,RL,66.0,12400,Pave,,IR1,Lvl,AllPub,155000
341,60,RL,85.0,14191,Pave,,Reg,Lvl,AllPub,202900
342,20,RH,60.0,8400,Pave,,Reg,Lvl,AllPub,82000
343,90,RL,,8544,Pave,,Reg,Lvl,AllPub,87500
344,120,RL,63.0,8849,Pave,,IR1,Lvl,AllPub,266000
345,160,RM,36.0,2592,Pave,,Reg,Lvl,AllPub,85000
346,50,RL,65.0,6435,Pave,,Reg,Lvl,AllPub,140200
347,20,RL,,12772,Pave,,IR1,Lvl,AllPub,151500
348,20,RL,,17600,Pave,,IR1,Lvl,AllPub,157500
349,160,RL,36.0,2448,Pave,,Reg,Lvl,AllPub,154000
350,60,RL,56.0,20431,Pave,,IR2,Lvl,AllPub,437154
351,120,RL,68.0,7820,Pave,,IR1,Lvl,AllPub,318061
352,120,RL,,5271,Pave,,IR1,Low,AllPub,190000
353,50,RL,60.0,9084,Pave,,Reg,Lvl,AllPub,95000
354,30,RM,60.0,8520,Pave,,Reg,Lvl,AllPub,105900
355,50,RL,60.0,8400,Pave,,Reg,Bnk,AllPub,140000
356,20,RL,105.0,11249,Pave,,IR2,Lvl,AllPub,177500
357,20,RL,,9248,Pave,,IR1,Lvl,AllPub,173000
358,120,RM,44.0,4224,Pave,,Reg,Lvl,AllPub,134000
359,80,RL,92.0,6930,Pave,,IR1,Lvl,AllPub,130000
360,60,RL,78.0,12011,Pave,,IR1,Lvl,AllPub,280000
361,85,RL,,7540,Pave,,IR1,Lvl,AllPub,156000
362,50,RL,,9144,Pave,Pave,Reg,Lvl,AllPub,145000
363,85,RL,64.0,7301,Pave,,Reg,Lvl,AllPub,198500
364,160,RM,21.0,1680,Pave,,Reg,Lvl,AllPub,118000
365,60,RL,,18800,Pave,,IR1,Lvl,AllPub,190000
366,70,RM,59.0,10690,Pave,,Reg,Lvl,AllPub,147000
367,20,RL,,9500,Pave,,IR1,Lvl,AllPub,159000
368,80,RL,101.0,9150,Pave,,IR1,Lvl,AllPub,165000
369,20,RL,78.0,7800,Pave,,Reg,Lvl,AllPub,132000
370,20,RL,,9830,Pave,,IR1,Lvl,AllPub,162000
371,60,RL,,8121,Pave,,IR1,Lvl,AllPub,172400
372,50,RL,80.0,17120,Pave,,Reg,Lvl,AllPub,134432
373,120,RL,50.0,7175,Pave,,Reg,Lvl,AllPub,125000
374,20,RL,79.0,10634,Pave,,Reg,Lvl,AllPub,123000
375,60,RL,65.0,8200,Pave,,Reg,Lvl,AllPub,219500
376,30,RL,,10020,Pave,,IR1,Low,AllPub,61000
377,85,RL,57.0,8846,Pave,,IR1,Lvl,AllPub,148000
378,60,FV,102.0,11143,Pave,,IR1,Lvl,AllPub,340000
379,20,RL,88.0,11394,Pave,,Reg,Lvl,AllPub,394432
380,60,RL,60.0,8123,Pave,,IR1,Lvl,AllPub,179000
381,50,RL,50.0,5000,Pave,Pave,Reg,Lvl,AllPub,127000
382,20,FV,60.0,7200,Pave,Pave,Reg,Lvl,AllPub,187750
383,60,RL,79.0,9245,Pave,,IR1,Lvl,AllPub,213500
384,45,RH,60.0,9000,Pave,,Reg,Lvl,AllPub,76000
385,60,RL,,53107,Pave,,IR2,Low,AllPub,240000
386,120,RL,43.0,3182,Pave,,Reg,Lvl,AllPub,192000
387,50,RL,58.0,8410,Pave,,Reg,Lvl,AllPub,81000
388,80,RL,72.0,7200,Pave,,Reg,Lvl,AllPub,125000
389,20,RL,93.0,9382,Pave,,IR1,Lvl,AllPub,191000
390,60,RL,96.0,12474,Pave,,Reg,Lvl,AllPub,426000
